Project Path: arc_wesmar_KernelResearchKit_bw04tg09

Source Tree:

```txt
arc_wesmar_KernelResearchKit_bw04tg09
├── BootBypass
│   ├── BootBypass.h
│   ├── BootBypass.rc
│   ├── BootBypass.sln
│   ├── BootBypass.vcxproj
│   ├── BootBypass.vcxproj.filters
│   ├── BootBypass.vcxproj.user
│   ├── BootManager.c
│   ├── BootManager.h
│   ├── DriverManager.c
│   ├── DriverManager.h
│   ├── FileManager.c
│   ├── FileManager.h
│   ├── IDR_DRV
│   ├── MmPoolTelemetry.asm
│   ├── SecurityPatcher.c
│   ├── SecurityPatcher.h
│   ├── SetupManager.c
│   ├── SetupManager.h
│   ├── SystemUtils.c
│   ├── SystemUtils.h
│   ├── drivers.ini
│   └── resource.h
├── BootBypass(FastReboot)
│   ├── BootBypass.h
│   ├── BootBypass.rc
│   ├── BootBypass.slnx
│   ├── BootBypass.vcxproj
│   ├── BootBypass.vcxproj.filters
│   ├── BootBypass.vcxproj.user
│   ├── BootManager.c
│   ├── BootManager.h
│   ├── DriverManager.c
│   ├── DriverManager.h
│   ├── FileManager.c
│   ├── FileManager.h
│   ├── IDR_DRV
│   ├── MmPoolTelemetry.asm
│   ├── SecurityPatcher.c
│   ├── SecurityPatcher.h
│   ├── SetupManager.c
│   ├── SetupManager.h
│   ├── SystemUtils.c
│   ├── SystemUtils.h
│   ├── drivers.ini
│   └── resource.h
├── OmniDriver
│   ├── OmniDriver.c
│   ├── OmniDriver.h
│   ├── OmniDriver.inf
│   ├── OmniDriver.rc
│   ├── OmniDriver.slnx
│   ├── OmniDriver.vcxproj
│   ├── OmniDriver.vcxproj.filters
│   └── OmniDriver.vcxproj.user
├── README.md
├── drvloader
│   ├── ConfigManager.cpp
│   ├── ConfigManager.h
│   ├── DrvCore.cpp
│   ├── DrvCore.h
│   ├── DrvLoader.slnx
│   ├── ICON
│   ├── ResourceInstaller.cpp
│   ├── ResourceInstaller.h
│   ├── SymbolDownloader.cpp
│   ├── SymbolDownloader.h
│   ├── UserInterface.cpp
│   ├── UserInterface.h
│   ├── drvloader.cpp
│   ├── drvloader.rc
│   ├── drvloader.sln
│   ├── drvloader.vcxproj
│   ├── drvloader.vcxproj.filters
│   ├── drvloader.vcxproj.user
│   └── resource.h
└── images

```

`BootBypass(FastReboot)/BootBypass.h`:

```h
#ifndef BOOT_BYPASS_H
#define BOOT_BYPASS_H

#pragma comment(lib, "ntdll.lib")
#pragma comment(linker, "/SUBSYSTEM:NATIVE /ENTRY:NtProcessStartup /NODEFAULTLIB /STACK:0x100000,0x100000")
#pragma optimize("", off)
#pragma check_stack(off)

// ============================================================================
// BUILD CONFIGURATION
// ============================================================================
#define DEBUG_LOGGING_ENABLED 0

// ============================================================================
// MACROS & CONSTANTS
// ============================================================================
#define NTAPI __stdcall
#define NULL 0
#define TRUE 1
#define FALSE 0
